南口,35.65797,139.701237
新南口,35.655835,139.704153
西口,35.657878,139.701373
東急南口,35.658102,139.702314
ハチ公口,35.658933,139.701089
宮益坂口,35.658872,139.701888
東口,35.658514,139.702081
1,35.659316,139.698465
2,35.659235,139.698996
3,35.659678,139.699496
4,35.659429,139.699811
5-1,35.659053,139.700059
5-2,35.659311,139.700114
6-1,35.659645,139.700115
6-2,35.659686,139.700468
6-3,35.65982,139.700487
7-1,35.659607,139.700737
7-2,35.659526,139.70097
7a,35.659611,139.700885
8,35.659047,139.700853
9,35.6594,139.70194
10,35.659967,139.702206
11,35.659968,139.702445
12,35.659354,139.702659
13,35.661616,139.702465
13a,35.66055,139.702491
14,35.65855,139.702121
15,35.658831,139.702979
16,35.657669,139.703306
ルミネ口,35.689036,139.699538
小田急連絡口,35.689628,139.700035
南口,35.689387,139.700464
JR南口,35.689428,139.700204
サザンテラス口,35.688794,139.700792
中央西口（出口）,35.690831,139.699561
西口,35.691366,139.699351
JR西口,35.683026,139.702186
新南口,35.68898,139.701939
JR新南口,35.688139,139.701006
東南口,35.689576,139.701486
中央東口,35.690816,35.690816
東口,35.691532,139.701237
JR東口,35.683269,139.702446
A1,35.686878,139.699397
A2,35.690916,139.704431
A3,35.690295,139.692687
A4,35.691191,139.703831
A5,35.691332,139.70348
A6,35.691942,139.702184
A7,35.692029,139.701962
A8,35.692123,139.701522
A9,35.69199,139.701026
A10,35.692054,139.699693
A11,35.691819,139.699872
A12,35.691571,139.699497
A14,35.691856,139.699562
A15,35.692049,139.699408
A18,35.692716,139.697474
B2,35.69104,139.705124
B3,35.691184,139.704902
B4,35.691223,139.704311
B5,35.691744,139.70403
B6,35.691801,139.703037
B7,35.691885,139.702858
B8,35.691944,139.702716
B9,35.692101,139.70264
B10,35.692282,139.702246
B11-1,35.69257,139.701838
B11-2,35.692317,139.701943
B12,35.692461,139.701484
B13,35.692517,139.701082
B14,35.692222,139.699541
B15,35.692364,139.699464
B16,35.69265,139.699098
B17,35.692219,139.698902
C1,35.690382,139.705532
C2,35.690746,139.705315
C3,35.69077,139.705704
C4,35.690526,139.705835
C5,35.690605,139.706779
C6,35.691252,139.706892
C7,35.691504,139.707241
C8,35.691103,139.707391
D1,35.692597,139.69944
D2,35.692865,139.699102
D3,35.693292,139.6993
D4,35.693471,139.698641
D5,35.694216,139.69907
E1,35.693785,139.706059
E2,35.693171,139.705887
E3,35.691576,139.705434
E4,35.691432,139.705615
E5,35.689302,139.703982
E7,35.688489,139.703411
E8,35.687128,139.702815
E9,35.689812,139.703314
E10,35.689389,139.701895
1,35.691646,139.699299
2,35.691117,139.699161
3,35.690943,139.699064
4,35.690328,139.698796
5,35.690037,139.698845
6,35.690127,139.698523
7,35.690169,139.698391
8,35.69046,139.6982
9,35.690941,139.698163
10,35.690585,139.698067
11,35.691625,139.69899
12,35.691732,139.699023
13,35.691812,139.699047
14,35.691897,139.699083
15,35.691588,139.698375
16,35.691697,139.698366
17,35.691781,139.698378
18,35.691868,139.698371
19,35.691603,139.697979
20,35.692079,139.697943
N1,35.691355,139.697645
N2,35.691356,139.696765
N3,35.691474,139.696494
N4,35.69149,139.696321
S1,35.690961,139.697696
S2,35.690723,139.696411
S3,35.690674,139.696247
八重洲南口,35.679939,139.768214
1(京葉線）,35.677907,139.766412
2(京葉線）,35.677339,139.765575
3(京葉線）,35.677897,139.765319
4(京葉線）,35.677584,139.764252
5(京葉線）,35.6778,139.763663
きた西口,35.467371,139.623131
きた東口A,35.46702,139.623978
きた東口B,35.466356,139.623528
きた東口C,35.465775,139.623399
みなみ西口,35.465125,139.620311
みなみ東口,35.464804,139.62262
五番街方面出口,35.464363,139.620125
西口,35.466374,139.621695
東口,35.465054,139.622938
出口1,35.464871,139.620274
出口2,35.465344,139.620181
出口3,35.464747,139.620294
出口4,35.464995,139.620384
出口5,35.4649,139.620266
出口6,35.465724,139.619798
出口7,35.465737,139.619975
出口8,35.466167,139.619904
出口9,35.466085,139.619415
出口10A,35.466235,139.619858
出口10B,35.466444,139.620458
